Location,Date
"Disney's Hollywood Studios, Orlando Florida",2019-10-29T20:13:19.000Z
"Las Vegas, Nevada",2019-10-24T04:29:06.000Z
"Index, Washington",2019-10-31T15:23:41.000Z
"Delicate Arch, Arches National Park",2019-10-20T04:04:54.000Z
Golden Gate Bridge,2019-10-09T02:39:43.000Z
"New Orleans, Louisiana",2019-08-12T14:33:05.000Z
"Seven Magic Mountains, Nevada",2019-10-23T02:15:47.000Z
Monument Valley,2019-10-27T19:48:15.000Z
The Lodge on Route 66,2019-09-15T03:58:53.000Z
"Chesapeake, Virginia",2019-10-31T23:44:34.000Z
"SoHo, Manhattan",2019-10-31T23:22:37.000Z
"San Francisco, California",2019-10-31T23:08:29.000Z
The Oculus at the World Trade Center,2019-10-31T22:19:07.000Z
"Lake Tahoe, Nevada",2019-10-31T21:59:08.000Z
United Stated Of America,2019-10-31T21:55:21.000Z
Chicago Riverwalk,2019-10-31T21:11:34.000Z
Red Canyon National Park,2019-10-31T21:08:07.000Z
,2019-10-31T19:37:04.000Z
,2019-10-31T18:05:31.000Z
"Palm Springs, California",2019-10-31T16:31:54.000Z
United States Capitol,2019-10-31T16:15:12.000Z
,2019-10-31T15:46:03.000Z
"Times Square, New York City",2019-10-31T15:12:38.000Z
"New Orleans, Louisiana",2019-10-31T14:59:11.000Z
Downtown San Francisco,2019-10-31T14:56:04.000Z
The Ringling,2019-10-31T14:06:41.000Z
California,2019-10-31T12:46:16.000Z
National Mall,2019-10-31T12:32:39.000Z
"Big Sur, California",2019-10-31T11:38:03.000Z
American Airlines Center,2019-10-31T11:25:57.000Z
Rodeo Drive,2019-10-31T07:34:36.000Z
,2019-10-31T07:08:47.000Z
"Broadway, New York",2019-10-31T06:14:06.000Z
360 CHICAGO,2019-10-31T06:08:45.000Z
PIER 39,2019-10-31T05:03:24.000Z
Voodoo Doughnut,2019-10-31T03:34:29.000Z
Cable Car - San Francisco,2019-10-31T03:34:02.000Z
"Big Sur, California",2019-10-31T03:33:08.000Z
"Davenport, Iowa",2019-10-31T03:28:11.000Z
"Virginia Beach, Virginia",2019-10-31T03:24:04.000Z
Pacific Coast Highway - Route 1,2019-10-31T03:10:15.000Z
"Big Sur, California",2019-10-31T03:09:32.000Z
Pacific Coast Highway - Route 1,2019-10-31T03:08:47.000Z
Virginia Beach Oceanfront,2019-10-31T02:53:10.000Z
,2019-10-31T02:43:35.000Z
"Sausalito, California",2019-10-31T02:28:29.000Z
,2019-10-31T01:04:14.000Z
,2019-10-31T00:35:43.000Z
California,2019-10-31T00:32:38.000Z
Texas State Capitol,2019-10-31T00:15:43.000Z
Zion National Park,2019-10-30T23:49:19.000Z
Lake Powell,2019-10-30T23:45:10.000Z
"Times Square, New York City",2019-10-30T23:34:14.000Z
White Sands National Monument,2019-10-30T23:32:30.000Z
"Marble Canyon, Arizona",2019-10-30T23:32:19.000Z
Route 66 Motoporium,2019-10-30T23:23:59.000Z
"Big Water, Utah",2019-10-30T23:21:06.000Z
The Vessel,2019-10-30T22:51:27.000Z
Seven Magic Mountains,2019-10-30T22:45:50.000Z
"Salem, Massachusetts",2019-10-30T21:01:23.000Z
Whitney Museum of American Art,2019-10-30T20:21:09.000Z
"New Orleans, Louisiana",2019-10-30T20:02:39.000Z
"Washington DC, USA",2019-10-30T19:44:52.000Z
"Golden Gate Bridge, San Francisco, California, Usa",2019-10-30T18:27:04.000Z
Dive Spirit Fakarava,2019-10-30T17:53:08.000Z
,2019-10-30T17:52:09.000Z
Dive Spirit Fakarava,2019-10-30T17:51:07.000Z
Baker Beach,2019-10-30T17:42:30.000Z
USS Pampanito,2019-10-30T17:23:16.000Z
"Niagara Falls State Park, USA",2019-10-30T17:02:57.000Z
"Watkins Glen, New York",2019-10-30T16:35:07.000Z
Pike Place Market,2019-10-30T16:22:23.000Z
,2019-10-30T15:27:01.000Z
"Santa Monica, California",2019-10-30T14:36:49.000Z
"Hoxie Scenic Overlook, Mystic CT",2019-10-30T14:34:04.000Z
,2019-10-30T12:30:10.000Z
"Lake Tahoe, Nevada",2019-10-30T04:18:53.000Z
"Virginia City, Nevada",2019-10-30T04:16:24.000Z
Princeton University,2019-10-28T16:47:52.000Z
Red Canyon,2019-10-30T14:08:33.000Z
Bryce Canyon National Park,2019-10-30T14:04:12.000Z
Brooklyn Bridge,2019-10-30T14:03:58.000Z
Red Canyon,2019-10-30T14:01:03.000Z
Bryce Canyon National Park,2019-10-30T13:58:19.000Z
