Alabama, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,43.0,-1.9
201602,49.8,1.5
201603,59.7,4.9
201604,63.6,0.7
201605,70.2,-0.4
201606,79.2,1.9
201607,82.0,2.1
201608,81.6,2.4
201609,78.6,4.2
201610,68.5,4.7
201611,57.8,4.4
201612,50.1,3.6
201701,52.4,7.5
201702,55.6,7.3
201703,58.4,3.6
201704,67.2,4.3
201705,69.9,-0.7
201706,75.8,-1.5
201707,80.6,0.7
201708,78.8,-0.4
201709,73.4,-1.0
201710,65.8,2.0
201711,55.6,2.2
201712,46.9,0.4
201801,40.4,-4.5
201802,58.0,9.7
201803,55.3,0.5
201804,59.4,-3.5
201805,74.5,3.9
201806,79.3,2.0
201807,80.7,0.8
201808,79.5,0.3
201809,79.4,5.0
201810,67.5,3.7
201811,50.3,-3.1
201812,49.0,2.5
201901,46.5,1.6
