Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,25.8,3.7
201602,31.9,5.1
201603,37.0,4.2
201604,47.0,5.9
201605,50.6,1.1
201606,61.2,4.4
201607,64.8,-0.5
201608,64.7,1.0
201609,54.6,-0.3
201610,45.7,1.5
201611,38.7,7.2
201612,19.1,-5.1
201701,18.5,-3.6
201702,29.5,2.7
201703,38.5,5.7
201704,40.3,-0.8
201705,50.6,1.1
201706,59.1,2.3
201707,70.0,4.7
201708,66.9,3.2
201709,55.7,0.8
201710,41.9,-2.3
201711,34.9,3.4
201712,25.2,1.0
201801,30.4,8.3
201802,26.2,-0.6
201803,33.7,0.9
201804,42.4,1.3
201805,53.9,4.4
201806,57.7,0.9
201807,68.4,3.1
201808,65.0,1.3
201809,56.2,1.3
201810,44.1,-0.1
201811,32.0,0.5
201812,24.3,0.1
201901,26.2,4.1
