Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,27.5,1.0
201602,33.9,3.7
201603,47.3,7.9
201604,52.0,1.1
201605,60.6,-0.8
201606,72.9,2.3
201607,74.6,0.1
201608,75.7,3.3
201609,69.9,4.2
201610,59.5,5.5
201611,47.0,5.8
201612,29.8,-0.7
201701,33.8,7.3
201702,41.3,11.1
201703,42.6,3.2
201704,57.0,6.1
201705,60.9,-0.5
201706,71.1,0.5
201707,74.2,-0.3
201708,70.0,-2.4
201709,67.2,1.5
201710,57.6,3.6
201711,42.4,1.2
201712,29.6,-0.9
201801,24.5,-2.0
201802,35.1,4.9
201803,38.3,-1.1
201804,45.2,-5.7
201805,69.7,8.3
201806,73.4,2.8
201807,74.2,-0.3
201808,74.0,1.6
201809,69.8,4.1
201810,54.9,0.9
201811,36.9,-4.3
201812,35.4,4.9
201901,26.9,0.4
