Iowa, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,19.6,1.9
201602,28.6,5.1
201603,42.4,7.9
201604,50.1,1.8
201605,59.5,-0.5
201606,73.0,3.7
201607,72.8,-1.1
201608,72.0,0.5
201609,67.3,4.3
201610,55.3,3.8
201611,45.1,9.6
201612,22.9,0.0
201701,24.2,6.5
201702,34.5,11.0
201703,37.5,3.0
201704,51.1,2.8
201705,58.5,-1.5
201706,71.1,1.8
201707,74.7,0.8
201708,67.8,-3.7
201709,66.7,3.7
201710,53.3,1.8
201711,36.2,0.7
201712,24.4,1.5
201801,17.8,0.1
201802,20.5,-3.0
201803,35.2,0.7
201804,39.3,-9.0
201805,67.0,7.0
201806,73.1,3.8
201807,73.1,-0.8
201808,71.8,0.3
201809,65.9,2.9
201810,48.2,-3.3
201811,30.0,-5.5
201812,28.0,5.1
201901,18.7,1.0
