Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,32.0,3.4
201602,40.8,6.5
201603,49.7,7.3
201604,56.3,2.5
201605,61.6,-2.1
201606,77.5,3.9
201607,79.7,0.5
201608,76.4,-1.0
201609,70.8,2.2
201610,61.5,4.7
201611,49.9,8.1
201612,29.8,-2.3
201701,33.0,4.4
201702,43.1,8.8
201703,48.9,6.5
201704,55.6,1.8
201705,62.2,-1.5
201706,75.1,1.5
201707,80.1,0.9
201708,73.1,-4.3
201709,70.5,1.9
201710,57.6,0.8
201711,45.2,3.4
201712,33.6,1.5
201801,29.9,1.3
201802,31.9,-2.4
201803,45.9,3.5
201804,47.6,-6.2
201805,71.1,7.4
201806,78.1,4.5
201807,78.7,-0.5
201808,75.7,-1.7
201809,70.1,1.5
201810,53.6,-3.2
201811,38.2,-3.6
201812,34.3,2.2
201901,31.3,2.7
