Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,31.6,-1.9
201602,38.9,1.9
201603,51.8,6.7
201604,57.3,1.9
201605,62.9,-1.5
201606,74.9,2.4
201607,77.9,1.7
201608,78.0,3.2
201609,72.2,3.7
201610,62.7,5.8
201611,49.9,4.6
201612,37.0,0.6
201701,40.9,7.4
201702,46.2,9.2
201703,47.9,2.8
201704,61.5,6.1
201705,65.0,0.6
201706,71.7,-0.8
201707,76.9,0.7
201708,73.1,-1.7
201709,68.3,-0.2
201710,59.4,2.5
201711,47.1,1.8
201712,35.8,-0.6
201801,30.0,-3.5
201802,44.6,7.6
201803,44.1,-1.0
201804,50.7,-4.7
201805,71.9,7.5
201806,75.5,3.0
201807,76.6,0.4
201808,75.8,1.0
201809,73.1,4.6
201810,58.9,2.0
201811,41.9,-3.4
201812,40.5,4.1
201901,35.1,1.6
