Louisiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,48.8,-0.3
201602,55.1,2.5
201603,63.8,5.1
201604,68.2,1.8
201605,73.3,-0.2
201606,80.9,1.2
201607,83.7,1.8
201608,82.4,0.9
201609,80.2,3.1
201610,71.4,3.9
201611,62.4,5.1
201612,54.7,3.8
201701,56.8,7.7
201702,61.7,9.1
201703,64.4,5.7
201704,69.4,3.0
201705,71.8,-1.7
201706,78.5,-1.2
201707,82.4,0.5
201708,81.0,-0.5
201709,77.0,-0.1
201710,69.2,1.7
201711,61.6,4.3
201712,50.8,-0.1
201801,44.2,-4.9
201802,60.5,7.9
201803,62.2,3.5
201804,62.7,-3.7
201805,77.7,4.2
201806,82.1,2.4
201807,83.5,1.6
201808,82.0,0.5
201809,80.1,3.0
201810,70.7,3.2
201811,54.8,-2.5
201812,52.6,1.7
201901,49.9,0.8
