Maine, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,20.1,6.5
201602,21.9,6.1
201603,29.2,3.0
201604,37.3,-1.1
201605,52.8,2.1
201606,60.5,0.3
201607,67.0,1.6
201608,66.6,3.1
201609,59.1,4.1
201610,46.9,2.6
201611,37.2,4.4
201612,20.5,1.4
201701,21.5,7.9
201702,20.6,4.8
201703,22.2,-4.0
201704,42.0,3.6
201705,50.7,0.0
201706,61.0,0.8
201707,65.2,-0.2
201708,63.3,-0.2
201709,61.1,6.1
201710,52.0,7.7
201711,32.4,-0.4
201712,16.4,-2.7
201801,15.0,1.4
201802,22.6,6.8
201803,28.9,2.7
201804,36.6,-1.8
201805,53.6,2.9
201806,59.0,-1.2
201807,68.9,3.5
201808,68.1,4.6
201809,58.0,3.0
201810,41.9,-2.4
201811,28.8,-4.0
201812,20.4,1.3
201901,14.2,0.6
