Maryland, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,32.1,-0.5
201602,36.9,2.4
201603,49.4,7.0
201604,53.1,0.8
201605,60.9,-1.5
201606,72.2,1.3
201607,78.4,3.1
201608,78.0,4.5
201609,71.5,4.4
201610,59.4,3.6
201611,47.7,2.4
201612,38.0,2.3
201701,38.3,5.7
201702,43.7,9.2
201703,43.1,0.7
201704,59.5,7.2
201705,62.2,-0.2
201706,72.6,1.7
201707,77.4,2.1
201708,72.8,-0.7
201709,68.3,1.2
201710,61.2,5.4
201711,45.8,0.5
201712,35.3,-0.4
201801,31.0,-1.6
201802,41.6,7.1
201803,39.2,-3.2
201804,50.6,-1.7
201805,68.6,6.2
201806,72.0,1.1
201807,76.2,0.9
201808,77.0,3.5
201809,72.6,5.5
201810,59.0,3.2
201811,43.4,-1.9
201812,39.2,3.5
201901,33.6,1.0
