Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,28.5,4.2
201602,30.9,5.0
201603,41.0,6.6
201604,45.0,0.1
201605,57.2,1.3
201606,66.1,1.4
201607,72.6,2.7
201608,72.5,4.5
201609,64.6,4.1
201610,52.2,2.2
201611,42.2,2.4
201612,31.0,2.5
201701,31.5,7.2
201702,33.0,7.1
201703,31.5,-2.9
201704,50.2,5.3
201705,55.2,-0.7
201706,66.0,1.3
201707,70.0,0.1
201708,68.0,0.0
201709,65.1,4.6
201710,57.5,7.5
201711,40.3,0.5
201712,26.6,-1.9
201801,24.5,0.2
201802,34.2,8.3
201803,34.9,0.5
201804,42.3,-2.6
201805,60.8,4.9
201806,64.8,0.1
201807,73.2,3.3
201808,73.5,5.5
201809,65.2,4.7
201810,50.3,0.3
201811,37.8,-2.0
201812,32.1,3.6
201901,25.9,1.6
