Arizona, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,41.8,1.1
201602,50.6,5.8
201603,54.9,5.4
201604,58.5,1.6
201605,64.6,-0.8
201606,80.3,5.8
201607,82.4,2.4
201608,77.5,-0.4
201609,71.6,-0.7
201610,66.1,4.8
201611,53.1,4.0
201612,44.7,3.0
201701,42.3,1.6
201702,49.4,4.6
201703,56.6,7.1
201704,59.9,3.0
201705,66.1,0.7
201706,79.8,5.3
201707,81.5,1.5
201708,79.1,1.2
201709,72.4,0.1
201710,65.1,3.8
201711,57.6,8.5
201712,46.6,4.9
201801,47.6,6.9
201802,46.8,2.0
201803,52.3,2.8
201804,62.9,6.0
201805,68.5,3.1
201806,78.6,4.1
201807,82.2,2.2
201808,80.2,2.3
201809,76.0,3.7
201810,59.9,-1.4
201811,49.4,0.3
201812,42.8,1.1
201901,42.4,1.7
