Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,22.3,3.9
201602,25.3,5.2
201603,36.1,6.9
201604,40.8,-1.3
201605,55.4,1.6
201606,64.7,1.2
201607,70.3,2.1
201608,70.8,4.6
201609,63.5,5.0
201610,51.6,4.0
201611,42.6,7.9
201612,25.0,1.4
201701,25.2,6.8
201702,29.9,9.8
201703,30.7,1.5
201704,47.2,5.1
201705,53.0,-0.8
201706,65.3,1.8
201707,68.5,0.3
201708,65.2,-1.0
201709,62.6,4.1
201710,52.5,4.9
201711,34.5,-0.2
201712,20.9,-2.7
201801,20.0,1.6
201802,23.0,2.9
201803,29.6,0.4
201804,35.3,-6.8
201805,60.3,6.5
201806,65.2,1.7
201807,70.5,2.3
201808,69.8,3.6
201809,62.4,3.9
201810,45.9,-1.7
201811,30.8,-3.9
201812,28.7,5.1
201901,16.8,-1.6
