Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,12.6,5.8
201602,19.9,6.9
201603,35.7,10.2
201604,42.5,1.0
201605,56.7,2.1
201606,65.6,1.7
201607,69.3,0.3
201608,68.1,1.4
201609,60.7,3.9
201610,48.2,3.0
201611,40.2,12.5
201612,15.3,2.2
201701,14.6,7.8
201702,23.9,10.9
201703,28.2,2.7
201704,44.4,2.9
201705,53.6,-1.0
201706,65.0,1.1
201707,69.2,0.2
201708,64.0,-2.7
201709,60.8,4.0
201710,47.1,1.9
201711,27.4,-0.3
201712,13.4,0.3
201801,10.4,3.6
201802,8.6,-4.4
201803,27.5,2.0
201804,32.7,-8.8
201805,61.1,6.5
201806,67.0,3.1
201807,69.6,0.6
201808,67.4,0.7
201809,59.0,2.2
201810,40.7,-4.5
201811,22.8,-4.9
201812,20.2,7.1
201901,6.6,-0.2
