Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,43.7,-1.2
201602,50.9,2.3
201603,60.2,4.9
201604,65.2,1.5
201605,70.5,-0.9
201606,80.2,2.0
201607,82.4,1.5
201608,82.0,1.9
201609,79.0,4.1
201610,69.2,4.8
201611,58.2,4.5
201612,49.4,2.6
201701,52.9,8.0
201702,57.1,8.5
201703,60.1,4.8
201704,67.3,3.6
201705,70.1,-1.3
201706,76.7,-1.5
201707,81.2,0.3
201708,79.3,-0.8
201709,74.5,-0.4
201710,66.2,1.8
201711,56.8,3.1
201712,47.1,0.3
201801,40.0,-4.9
201802,56.8,8.2
201803,57.1,1.8
201804,58.8,-4.9
201805,75.8,4.4
201806,80.6,2.4
201807,81.8,0.9
201808,80.2,0.1
201809,78.8,3.9
201810,67.3,2.9
201811,50.5,-3.2
201812,48.9,2.1
201901,46.2,1.3
