Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,30.9,1.6
201602,39.1,4.6
201603,50.4,7.0
201604,57.3,2.5
201605,62.7,-1.6
201606,76.9,3.9
201607,78.1,0.3
201608,76.7,0.7
201609,71.7,3.5
201610,62.1,5.0
201611,51.0,7.6
201612,32.4,-0.8
201701,35.4,6.1
201702,45.1,10.6
201703,48.4,5.0
201704,58.5,3.7
201705,64.1,-0.2
201706,73.5,0.5
201707,78.8,1.0
201708,72.1,-3.9
201709,70.4,2.2
201710,59.0,1.9
201711,46.2,2.8
201712,34.3,1.1
201801,28.0,-1.3
201802,35.6,1.1
201803,44.0,0.6
201804,48.2,-6.6
201805,72.5,8.2
201806,77.4,4.4
201807,78.2,0.4
201808,76.4,0.4
201809,71.3,3.1
201810,56.5,-0.6
201811,37.6,-5.8
201812,36.9,3.7
201901,31.0,1.7
