Nebraska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,26.0,3.9
201602,35.0,7.5
201603,43.9,8.1
201604,49.9,1.9
201605,57.2,-1.5
201606,73.3,4.8
201607,74.2,-0.6
201608,71.8,-0.8
201609,65.0,2.1
201610,55.4,4.4
201611,44.3,8.8
201612,23.8,-2.0
201701,24.8,2.7
201702,35.4,7.9
201703,42.2,6.4
201704,49.7,1.7
201705,57.0,-1.7
201706,70.7,2.2
201707,76.8,2.0
201708,69.0,-3.6
201709,65.0,2.1
201710,51.0,0.0
201711,39.9,4.4
201712,26.6,0.8
201801,23.1,1.0
201802,21.7,-5.8
201803,38.5,2.7
201804,41.2,-6.8
201805,63.8,5.1
201806,72.3,3.8
201807,73.5,-1.3
201808,70.8,-1.8
201809,65.7,2.8
201810,47.1,-3.9
201811,33.4,-2.1
201812,28.0,2.2
201901,26.3,4.2
