Nevada, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,31.1,1.0
201602,38.0,3.6
201603,44.2,4.5
201604,50.1,3.4
201605,55.1,-0.2
201606,69.7,5.7
201607,73.7,1.4
201608,72.1,1.8
201609,62.3,0.3
201610,53.2,2.1
201611,43.2,4.4
201612,30.5,-1.0
201701,29.1,-1.0
201702,38.1,3.7
201703,45.7,6.0
201704,47.1,0.4
201705,57.1,1.8
201706,68.6,4.6
201707,76.2,3.9
201708,73.5,3.2
201709,61.6,-0.4
201710,50.4,-0.7
201711,44.4,5.6
201712,34.8,3.3
201801,38.5,8.4
201802,33.7,-0.7
201803,39.5,-0.2
201804,50.0,3.3
201805,57.7,2.4
201806,67.8,3.8
201807,77.0,4.7
201808,73.2,2.9
201809,65.0,3.0
201810,50.3,-0.8
201811,39.4,0.6
201812,32.0,0.5
201901,34.0,3.9
