New Hampshire, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,22.9,5.5
201602,25.6,6.2
201603,35.2,6.1
201604,40.2,-0.6
201605,54.8,2.0
201606,62.6,0.7
201607,68.5,1.9
201608,68.2,3.8
201609,60.5,3.9
201610,48.0,2.2
201611,37.9,3.2
201612,24.4,2.2
201701,25.7,8.3
201702,26.7,7.3
201703,25.3,-3.8
201704,45.8,5.0
201705,52.2,-0.6
201706,62.6,0.7
201707,66.5,-0.1
201708,64.1,-0.3
201709,62.2,5.6
201710,53.9,8.1
201711,34.6,-0.1
201712,19.6,-2.6
201801,18.4,1.0
201802,27.0,7.6
201803,30.4,1.3
201804,38.0,-2.8
201805,57.2,4.4
201806,61.4,-0.5
201807,69.8,3.2
201808,69.3,4.9
201809,61.2,4.6
201810,45.1,-0.7
201811,31.4,-3.3
201812,24.9,2.7
201901,18.2,0.8
