New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,31.4,1.6
201602,36.0,4.6
201603,47.0,7.5
201604,50.7,1.2
201605,60.2,0.2
201606,70.6,1.7
201607,77.2,3.4
201608,76.9,5.0
201609,69.7,4.6
201610,56.7,2.7
201611,46.7,3.0
201612,36.3,2.8
201701,36.2,6.4
201702,40.4,9.0
201703,38.9,-0.6
201704,55.9,6.4
201705,60.0,0.0
201706,70.4,1.5
201707,75.5,1.7
201708,71.6,-0.3
201709,68.2,3.1
201710,60.4,6.4
201711,44.4,0.7
201712,33.2,-0.3
201801,29.2,-0.6
201802,39.4,8.0
201803,38.3,-1.2
201804,48.0,-1.5
201805,65.2,5.2
201806,70.1,1.2
201807,76.1,2.3
201808,76.8,4.9
201809,70.2,5.1
201810,56.4,2.4
201811,42.5,-1.2
201812,37.8,4.3
201901,31.6,1.8
