New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,34.3,0.8
201602,42.0,4.1
201603,48.3,4.9
201604,52.3,0.7
201605,59.4,-1.0
201606,73.0,3.7
201607,76.9,4.0
201608,70.1,-0.8
201609,65.9,1.3
201610,59.6,5.3
201611,46.7,4.7
201612,37.8,3.1
201701,37.2,3.7
201702,44.5,6.6
201703,51.2,7.8
201704,53.7,2.1
201705,60.1,-0.3
201706,72.8,3.5
201707,74.6,1.7
201708,70.8,-0.1
201709,66.4,1.8
201710,56.4,2.1
201711,50.2,8.2
201712,38.7,4.0
201801,37.0,3.5
201802,41.3,3.4
201803,47.2,3.8
201804,55.1,3.5
201805,65.6,5.2
201806,74.3,5.0
201807,75.1,2.2
201808,73.0,2.1
201809,66.9,2.3
201810,53.8,-0.5
201811,41.2,-0.8
201812,35.6,0.9
201901,35.5,2.0
