Arkansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,39.5,0.5
201602,46.9,3.3
201603,55.5,4.4
201604,62.5,1.8
201605,67.2,-1.6
201606,78.9,2.3
201607,82.0,1.5
201608,80.0,0.6
201609,75.8,3.0
201610,67.0,5.0
201611,55.7,6.1
201612,42.5,0.9
201701,45.2,6.2
201702,52.5,8.9
201703,55.7,4.6
201704,64.2,3.5
201705,67.7,-1.1
201706,75.5,-1.1
201707,80.6,0.1
201708,76.9,-2.5
201709,73.2,0.4
201710,62.9,0.9
201711,53.7,4.1
201712,42.4,0.8
201801,35.7,-3.3
201802,45.9,2.3
201803,53.9,2.8
201804,55.2,-5.5
201805,75.0,6.2
201806,80.1,3.5
201807,81.8,1.3
201808,78.8,-0.6
201809,75.0,2.2
201810,62.6,0.6
201811,45.8,-3.8
201812,44.2,2.6
201901,40.8,1.8
