New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,23.7,3.7
201602,26.7,5.2
201603,37.7,7.0
201604,41.3,-1.6
201605,55.7,1.2
201606,64.1,0.4
201607,70.4,2.2
201608,70.9,4.6
201609,62.9,4.0
201610,50.5,2.5
201611,40.2,3.4
201612,27.6,2.7
201701,27.9,7.9
201702,30.6,9.1
201703,28.2,-2.5
201704,48.8,5.9
201705,54.0,-0.5
201706,63.9,0.2
201707,68.1,-0.1
201708,65.6,-0.7
201709,62.3,3.4
201710,54.8,6.8
201711,36.2,-0.6
201712,22.6,-2.3
201801,19.1,-0.9
201802,29.4,7.9
201803,29.9,-0.8
201804,37.8,-5.1
201805,60.0,5.5
201806,63.4,-0.3
201807,71.2,3.0
201808,70.5,4.2
201809,63.6,4.7
201810,47.8,-0.2
201811,33.3,-3.5
201812,28.5,3.6
201901,19.5,-0.5
