North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,38.4,-1.6
201602,43.2,0.8
201603,56.2,7.0
201604,58.7,0.6
201605,65.8,-0.6
201606,75.3,1.7
201607,80.1,3.1
201608,79.2,3.6
201609,74.3,4.0
201610,63.2,3.7
201611,51.7,2.1
201612,44.0,2.4
201701,45.4,5.4
201702,50.7,8.3
201703,50.0,0.8
201704,63.9,5.8
201705,67.7,1.3
201706,73.8,0.2
201707,78.7,1.7
201708,75.8,0.2
201709,70.5,0.2
201710,62.8,3.3
201711,50.3,0.7
201712,42.4,0.8
201801,35.8,-4.2
201802,51.9,9.5
201803,46.3,-2.9
201804,56.0,-2.1
201805,71.6,5.2
201806,76.8,3.2
201807,77.2,0.2
201808,77.2,1.6
201809,76.2,5.9
201810,62.5,3.0
201811,48.4,-1.2
201812,45.0,3.4
201901,41.9,1.9
