North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,14.6,7.8
201602,25.6,12.5
201603,36.3,11.1
201604,41.8,0.5
201605,56.6,2.5
201606,66.0,2.9
201607,69.3,0.0
201608,68.0,0.6
201609,58.6,2.2
201610,46.1,1.9
201611,39.3,13.2
201612,10.2,-2.9
201701,11.2,4.4
201702,20.5,7.4
201703,27.4,2.2
201704,42.7,1.4
201705,54.8,0.7
201706,64.8,1.7
201707,72.2,2.9
201708,65.2,-2.2
201709,58.3,1.9
201710,45.0,0.8
201711,26.4,0.3
201712,15.6,2.5
201801,11.8,5.0
201802,5.4,-7.7
201803,24.6,-0.6
201804,33.2,-8.1
201805,60.2,6.1
201806,67.4,4.3
201807,69.2,-0.1
201808,67.6,0.2
201809,55.0,-1.4
201810,39.0,-5.2
201811,22.9,-3.2
201812,20.8,7.7
201901,9.8,3.0
