Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,27.2,0.4
201602,33.6,3.9
201603,46.5,8.2
201604,50.2,0.8
201605,59.7,-0.4
201606,71.2,2.1
201607,74.8,1.8
201608,76.0,5.0
201609,69.2,4.7
201610,57.7,4.9
201611,45.8,4.8
201612,31.0,0.3
201701,34.6,7.8
201702,40.5,10.8
201703,40.4,2.1
201704,56.6,7.2
201705,60.1,0.0
201706,69.6,0.5
201707,73.0,0.0
201708,69.7,-1.3
201709,65.8,1.3
201710,57.4,4.6
201711,41.8,0.8
201712,29.2,-1.5
201801,25.0,-1.8
201802,36.6,6.9
201803,36.4,-1.9
201804,45.0,-4.4
201805,68.0,7.9
201806,71.4,2.3
201807,73.8,0.8
201808,73.7,2.7
201809,69.6,5.1
201810,54.3,1.5
201811,37.3,-3.7
201812,35.1,4.4
201901,27.4,0.6
