Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,38.2,1.9
201602,47.4,5.7
201603,54.7,5.5
201604,61.4,1.7
201605,66.2,-2.0
201606,79.2,2.2
201607,83.2,1.3
201608,80.8,-0.1
201609,75.3,2.3
201610,67.1,5.3
201611,55.4,7.3
201612,38.8,-0.4
201701,40.9,4.6
201702,50.5,8.8
201703,56.2,7.0
201704,61.4,1.7
201705,66.9,-1.3
201706,77.3,0.3
201707,82.5,0.6
201708,77.3,-3.6
201709,73.3,0.3
201710,62.0,0.2
201711,52.9,4.8
201712,40.5,1.3
201801,36.6,0.3
201802,40.9,-0.8
201803,52.9,3.7
201804,54.1,-5.6
201805,75.0,6.8
201806,80.6,3.6
201807,82.8,0.9
201808,79.9,-1.0
201809,73.9,0.9
201810,60.1,-1.7
201811,44.6,-3.5
201812,40.9,1.7
201901,38.3,2.0
