Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,33.1,2.5
201602,40.2,5.6
201603,41.2,2.6
201604,50.1,6.0
201605,53.2,2.3
201606,60.5,3.0
201607,64.4,-0.6
201608,66.7,2.6
201609,57.1,-0.6
201610,48.1,-0.2
201611,43.2,5.4
201612,27.4,-4.9
201701,26.7,-3.9
201702,34.8,0.2
201703,41.6,3.0
201704,42.9,-1.2
201705,52.9,2.0
201706,59.9,2.4
201707,69.2,4.2
201708,69.6,5.5
201709,59.6,1.9
201710,47.0,-1.3
201711,39.3,1.5
201712,32.9,0.6
201801,37.5,6.9
201802,33.2,-1.4
201803,38.4,-0.2
201804,45.1,1.0
201805,55.5,4.6
201806,58.6,1.1
201807,69.0,4.0
201808,66.5,2.4
201809,57.4,-0.3
201810,48.8,0.5
201811,39.4,1.6
201812,32.2,-0.1
201901,35.3,4.7
