Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,25.4,0.0
201602,30.7,3.5
201603,43.3,7.5
201604,47.0,0.1
201605,57.4,-0.2
201606,67.4,1.2
201607,73.0,2.6
201608,73.4,4.8
201609,66.2,4.5
201610,53.6,3.1
201611,42.6,3.0
201612,31.2,2.0
201701,31.8,6.4
201702,36.6,9.4
201703,35.3,-0.5
201704,53.7,6.8
201705,57.1,-0.5
201706,66.8,0.6
201707,71.4,1.0
201708,67.4,-1.2
201709,63.8,2.1
201710,56.2,5.7
201711,39.2,-0.4
201712,28.0,-1.2
201801,23.1,-2.3
201802,34.3,7.1
201803,33.1,-2.7
201804,43.3,-3.6
201805,64.0,6.4
201806,66.7,0.5
201807,71.7,1.3
201808,72.1,3.5
201809,66.7,5.0
201810,52.3,1.8
201811,36.7,-2.9
201812,33.5,4.3
201901,25.9,0.5
