Rhode Island, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,31.3,3.9
201602,33.1,4.4
201603,42.9,6.5
201604,46.2,0.2
201605,57.9,1.6
201606,66.9,1.8
201607,73.8,3.2
201608,73.9,4.7
201609,66.4,4.3
201610,54.7,2.8
201611,45.2,3.1
201612,34.2,2.7
201701,34.2,6.8
201702,35.2,6.5
201703,34.1,-2.3
201704,51.5,5.5
201705,56.5,0.2
201706,66.8,1.7
201707,71.1,0.5
201708,69.8,0.6
201709,66.4,4.3
201710,59.6,7.7
201711,43.1,1.0
201712,30.1,-1.4
201801,27.6,0.2
201802,37.6,8.9
201803,37.3,0.9
201804,44.4,-1.6
201805,61.4,5.1
201806,65.9,0.8
201807,73.8,3.2
201808,75.1,5.9
201809,66.4,4.3
201810,52.6,0.7
201811,40.9,-1.2
201812,35.2,3.7
201901,29.0,1.6
