South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,43.0,-1.5
201602,48.0,0.8
201603,60.6,6.9
201604,63.1,1.0
201605,70.1,-0.2
201606,79.8,2.8
201607,83.7,3.7
201608,81.9,3.2
201609,77.1,3.4
201610,66.4,3.2
201611,55.6,2.3
201612,49.0,3.2
201701,51.4,6.9
201702,55.5,8.3
201703,55.5,1.8
201704,67.0,4.9
201705,71.5,1.2
201706,76.9,-0.1
201707,81.0,1.0
201708,79.4,0.7
201709,74.3,0.6
201710,66.2,3.0
201711,54.3,1.0
201712,47.8,2.0
201801,40.6,-3.9
201802,57.3,10.1
201803,51.9,-1.8
201804,59.9,-2.2
201805,73.8,3.5
201806,80.2,3.2
201807,80.2,0.2
201808,79.9,1.2
201809,79.4,5.7
201810,66.9,3.7
201811,51.9,-1.4
201812,48.6,2.8
201901,46.7,2.2
