South Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,19.8,4.6
201602,31.2,10.3
201603,40.1,9.2
201604,46.3,1.5
201605,56.7,0.2
201606,70.7,4.8
201607,73.0,0.0
201608,71.0,0.0
201609,62.4,2.1
201610,51.6,3.6
201611,42.0,10.6
201612,15.4,-4.7
201701,16.5,1.3
201702,29.4,8.5
201703,35.5,4.6
201704,46.1,1.3
201705,56.0,-0.5
201706,68.1,2.2
201707,76.0,3.0
201708,67.4,-3.6
201709,61.8,1.5
201710,48.0,0.0
201711,34.7,3.3
201712,21.7,1.6
201801,18.1,2.9
201802,11.6,-9.3
201803,30.4,-0.5
201804,36.7,-8.1
201805,62.1,5.6
201806,69.3,3.4
201807,72.2,-0.8
201808,70.0,-1.0
201809,61.5,1.2
201810,43.2,-4.8
201811,29.3,-2.1
201812,25.3,5.2
201901,18.1,2.9
