Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,34.8,-2.2
201602,42.5,2.0
201603,53.9,5.8
201604,59.5,1.8
201605,65.3,-0.8
201606,76.5,2.7
201607,79.8,2.6
201608,79.0,3.0
201609,74.1,4.1
201610,64.6,5.9
201611,52.7,5.3
201612,40.9,1.5
201701,44.9,7.9
201702,48.9,8.4
201703,51.1,3.0
201704,63.1,5.4
201705,66.6,0.5
201706,73.0,-0.8
201707,78.1,0.9
201708,74.6,-1.4
201709,69.1,-0.9
201710,60.8,2.1
201711,49.9,2.5
201712,39.5,0.1
201801,32.9,-4.1
201802,48.5,8.0
201803,48.1,0.0
201804,52.8,-4.9
201805,72.2,6.1
201806,76.4,2.6
201807,78.1,0.9
201808,76.5,0.5
201809,74.9,4.9
201810,61.0,2.3
201811,44.4,-3.0
201812,42.7,3.3
201901,39.3,2.3
