Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,46.4,1.2
201602,54.4,4.7
201603,61.2,4.9
201604,66.1,1.0
201605,71.6,-1.0
201606,80.1,0.5
201607,85.4,3.0
201608,81.5,-0.3
201609,77.6,1.8
201610,70.9,4.6
201611,61.0,6.5
201612,49.6,2.5
201701,50.8,5.6
201702,58.4,8.7
201703,63.6,7.3
201704,67.1,2.0
201705,72.0,-0.6
201706,80.6,1.0
201707,83.6,1.2
201708,80.6,-1.2
201709,76.5,0.7
201710,66.5,0.2
201711,60.3,5.8
201712,47.8,0.7
201801,43.9,-1.3
201802,52.3,2.6
201803,61.7,5.4
201804,63.0,-2.1
201805,78.0,5.4
201806,83.9,4.3
201807,84.5,2.1
201808,83.1,1.3
201809,76.3,0.5
201810,65.4,-0.9
201811,52.0,-2.5
201812,48.3,1.2
201901,47.2,2.0
