Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,26.6,1.1
201602,33.7,3.1
201603,42.2,4.7
201604,47.9,2.2
201605,54.4,-0.6
201606,70.9,6.7
201607,73.7,1.8
201608,70.1,0.4
201609,61.1,0.1
201610,53.2,3.9
201611,41.6,5.7
201612,27.4,-0.1
201701,25.9,0.4
201702,36.5,5.9
201703,45.3,7.8
201704,46.0,0.3
201705,55.6,0.6
201706,69.5,5.3
201707,75.0,3.1
201708,71.6,1.9
201709,60.7,-0.3
201710,48.1,-1.2
201711,43.0,7.1
201712,31.4,3.9
201801,32.8,7.3
201802,32.2,1.6
201803,39.2,1.7
201804,49.0,3.3
201805,58.2,3.2
201806,69.2,5.0
201807,76.1,4.2
201808,72.4,2.7
201809,65.8,4.8
201810,47.5,-1.8
201811,35.0,-0.9
201812,27.5,0.0
201901,27.0,1.5
