Vermont, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,20.9,5.4
201602,23.9,6.5
201603,33.6,6.2
201604,38.2,-1.8
201605,54.0,1.7
201606,62.0,0.6
201607,67.4,1.5
201608,67.5,3.8
201609,59.9,3.8
201610,47.7,2.5
201611,36.8,3.0
201612,23.9,3.3
201701,24.8,9.3
201702,25.6,8.2
201703,23.5,-3.9
201704,45.2,5.2
201705,51.8,-0.5
201706,61.5,0.1
201707,65.2,-0.7
201708,63.3,-0.4
201709,60.8,4.7
201710,53.0,7.8
201711,33.0,-0.8
201712,17.9,-2.7
201801,16.5,1.0
201802,25.5,8.1
201803,28.2,0.8
201804,36.1,-3.9
201805,56.4,4.1
201806,60.1,-1.3
201807,69.2,3.3
201808,68.4,4.7
201809,60.7,4.6
201810,44.5,-0.7
201811,30.2,-3.6
201812,23.0,2.4
201901,14.9,-0.6
