Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,33.1,-1.7
201602,38.4,1.2
201603,51.8,7.2
201604,55.1,0.9
201605,61.9,-1.3
201606,71.8,0.8
201607,77.3,2.5
201608,77.0,3.7
201609,71.8,4.6
201610,59.8,3.7
201611,48.3,2.5
201612,39.1,2.0
201701,40.1,5.3
201702,46.0,8.8
201703,45.9,1.3
201704,60.6,6.4
201705,63.4,0.2
201706,71.2,0.2
201707,76.8,2.0
201708,72.8,-0.5
201709,67.4,0.2
201710,60.2,4.1
201711,46.1,0.3
201712,37.2,0.1
201801,31.8,-3.0
201802,45.1,7.9
201803,41.2,-3.4
201804,52.2,-2.0
201805,69.8,6.6
201806,73.2,2.2
201807,75.1,0.3
201808,75.3,2.0
201809,72.9,5.7
201810,59.0,2.9
201811,43.8,-2.0
201812,39.7,2.6
201901,36.3,1.5
