Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,33.0,4.3
201602,39.1,5.6
201603,41.8,3.1
201604,51.6,6.4
201605,55.1,3.1
201606,59.9,2.0
201607,63.6,-0.6
201608,65.9,2.3
201609,56.4,-0.9
201610,47.4,0.2
201611,43.0,6.5
201612,26.1,-4.8
201701,24.8,-3.9
201702,31.0,-2.5
201703,39.3,0.6
201704,44.2,-1.0
201705,53.7,1.7
201706,59.5,1.6
201707,67.1,2.9
201708,68.6,5.0
201709,59.8,2.5
201710,46.2,-1.0
201711,37.7,1.2
201712,29.9,-1.0
201801,35.3,6.6
201802,32.4,-1.1
201803,38.7,0.0
201804,45.2,0.0
201805,57.5,5.5
201806,58.2,0.3
201807,67.4,3.2
201808,66.0,2.4
201809,56.4,-0.9
201810,47.4,0.2
201811,38.6,2.1
201812,33.1,2.2
201901,34.2,5.5
