West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,27.6,-2.8
201602,34.9,1.8
201603,48.5,7.7
201604,53.0,2.0
201605,59.5,-0.9
201606,69.5,1.3
201607,73.7,1.8
201608,75.1,4.7
201609,69.4,5.0
201610,57.3,4.1
201611,45.6,3.3
201612,35.6,2.4
201701,37.5,7.1
201702,42.1,9.0
201703,42.3,1.5
201704,57.5,6.5
201705,61.0,0.6
201706,67.7,-0.5
201707,72.4,0.5
201708,69.3,-1.1
201709,64.6,0.2
201710,57.5,4.3
201711,43.2,0.9
201712,33.0,-0.2
201801,27.0,-3.4
201802,41.7,8.6
201803,38.0,-2.8
201804,47.7,-3.3
201805,67.9,7.5
201806,70.1,1.9
201807,72.5,0.6
201808,72.4,2.0
201809,70.4,6.0
201810,55.3,2.1
201811,40.0,-2.3
201812,36.8,3.6
201901,32.0,1.6
