Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,16.2,3.5
201602,22.6,5.3
201603,36.8,8.5
201604,42.9,0.2
201605,56.1,1.2
201606,65.8,1.6
201607,69.9,0.9
201608,69.5,2.8
201609,62.6,4.6
201610,50.4,3.6
201611,41.6,10.1
201612,19.9,1.6
201701,19.4,6.7
201702,27.8,10.5
201703,30.2,1.9
201704,46.4,3.7
201705,53.3,-1.6
201706,65.6,1.4
201707,68.8,-0.2
201708,64.2,-2.5
201709,62.2,4.2
201710,50.0,3.2
201711,31.4,-0.1
201712,17.3,-1.0
201801,15.2,2.5
201802,16.1,-1.2
201803,29.7,1.4
201804,33.5,-9.2
201805,62.0,7.1
201806,66.5,2.3
201807,69.8,0.8
201808,68.5,1.8
201809,61.3,3.3
201810,43.6,-3.2
201811,27.3,-4.2
201812,25.1,6.8
201901,13.1,0.4
