Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,22.7,4.2
201602,30.1,7.2
201603,34.5,5.1
201604,41.8,2.7
201605,47.9,-0.9
201606,63.8,6.0
201607,66.8,1.2
201608,63.5,-0.2
201609,55.4,1.6
201610,46.5,3.7
201611,37.1,8.2
201612,16.8,-4.4
201701,16.7,-1.8
201702,27.8,4.9
201703,38.4,9.0
201704,40.1,1.0
201705,49.2,0.4
201706,60.0,2.2
201707,68.9,3.3
201708,63.5,-0.2
201709,54.2,0.4
201710,41.1,-1.7
201711,34.7,5.8
201712,23.8,2.6
201801,25.1,6.6
201802,19.3,-3.6
201803,32.3,2.9
201804,39.8,0.7
201805,52.9,4.1
201806,60.4,2.6
201807,67.3,1.7
201808,63.5,-0.2
201809,57.2,3.4
201810,41.0,-1.8
201811,28.5,-0.4
201812,21.4,0.2
201901,22.1,3.6
