Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,25.6,1.8
201602,32.4,4.6
201603,37.9,4.1
201604,43.7,1.0
201605,50.8,-1.4
201606,66.4,4.9
201607,69.2,1.8
201608,64.5,-0.9
201609,59.7,2.2
201610,51.8,5.0
201611,40.2,6.8
201612,25.2,-0.5
201701,25.3,1.5
201702,35.4,7.6
201703,42.5,8.7
201704,44.3,1.6
201705,51.5,-0.7
201706,64.8,3.3
201707,69.4,2.0
201708,64.7,-0.7
201709,59.1,1.6
201710,46.7,-0.1
201711,41.3,7.9
201712,30.1,4.4
201801,29.7,5.9
201802,28.6,0.8
201803,37.8,4.0
201804,43.9,1.2
201805,57.2,5.0
201806,66.4,4.9
201807,69.9,2.5
201808,66.2,0.8
201809,61.8,4.3
201810,45.0,-1.8
201811,32.6,-0.8
201812,26.6,0.9
201901,25.9,2.1
