Alaska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,17.2,15.0
201602,17.3,12.5
201603,18.7,7.9
201604,33.3,10.0
201605,44.0,6.2
201606,51.8,2.6
201607,55.6,2.9
201608,53.2,3.7
201609,42.3,1.7
201610,29.7,4.2
201611,13.3,1.6
201612,6.2,2.5
201701,4.5,2.3
201702,6.6,1.8
201703,4.9,-5.9
201704,29.6,6.3
201705,40.8,3.0
201706,51.4,2.2
201707,56.2,3.5
201708,50.2,0.7
201709,42.6,2.0
201710,30.2,4.7
201711,15.8,4.1
201712,19.1,15.4
201801,6.6,4.4
201802,12.6,7.8
201803,18.0,7.2
201804,26.9,3.6
201805,39.5,1.7
201806,50.0,0.8
201807,55.6,2.9
201808,49.7,0.2
201809,44.3,3.7
201810,33.8,8.3
201811,19.1,7.4
201812,9.1,5.4
201901,7.6,5.4
