Connecticut, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,29.7,4.1
201602,32.0,4.7
201603,43.2,7.5
201604,46.8,0.6
201605,58.4,1.4
201606,67.4,1.6
201607,74.1,3.3
201608,73.9,4.9
201609,66.2,4.6
201610,53.5,2.5
201611,43.5,2.7
201612,32.6,2.9
201701,32.7,7.1
201702,34.6,7.3
201703,33.4,-2.3
201704,51.8,5.6
201705,56.7,-0.3
201706,67.0,1.2
201707,71.5,0.7
201708,69.1,0.1
201709,66.0,4.4
201710,58.6,7.6
201711,41.0,0.2
201712,28.7,-1.0
201801,25.4,-0.2
201802,35.6,8.3
201803,36.4,0.7
201804,43.4,-2.8
201805,62.1,5.1
201806,66.3,0.5
201807,73.9,3.1
201808,74.3,5.3
201809,66.1,4.5
201810,52.3,1.3
201811,39.1,-1.7
201812,33.9,4.2
201901,27.1,1.5
