Delaware, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,34.3,0.9
201602,38.5,3.5
201603,49.7,7.0
201604,53.1,0.9
201605,61.7,-0.6
201606,72.4,1.4
201607,79.6,3.9
201608,78.6,4.6
201609,72.0,4.4
201610,60.3,3.9
201611,49.0,2.9
201612,39.2,2.6
201701,39.1,5.7
201702,44.4,9.4
201703,43.8,1.1
201704,59.6,7.4
201705,62.8,0.5
201706,73.6,2.6
201707,78.4,2.7
201708,74.0,0.0
201709,69.8,2.2
201710,62.4,6.0
201711,47.5,1.4
201712,36.1,-0.5
201801,32.4,-1.0
201802,42.8,7.8
201803,40.2,-2.5
201804,51.2,-1.0
201805,67.9,5.6
201806,72.6,1.6
201807,77.2,1.5
201808,78.5,4.5
201809,73.2,5.6
201810,59.8,3.4
201811,45.0,-1.1
201812,40.8,4.2
201901,34.6,1.2
