Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,56.9,-0.9
201602,59.4,-0.3
201603,68.8,4.8
201604,71.2,1.8
201605,76.2,1.0
201606,81.9,2.3
201607,84.0,2.8
201608,83.0,1.8
201609,81.1,1.9
201610,74.6,2.2
201611,66.6,2.1
201612,65.9,6.9
201701,62.8,5.0
201702,65.5,5.8
201703,66.2,2.2
201704,72.3,2.9
201705,77.1,1.9
201706,80.2,0.6
201707,82.8,1.6
201708,82.8,1.6
201709,80.4,1.2
201710,74.9,2.5
201711,67.4,2.9
201712,61.7,2.7
201801,55.0,-2.8
201802,69.2,9.5
201803,63.0,-1.0
201804,70.2,0.8
201805,76.5,1.3
201806,81.6,2.0
201807,82.4,1.2
201808,82.2,1.0
201809,82.3,3.1
201810,76.5,4.1
201811,66.8,2.3
201812,61.8,2.8
201901,58.5,0.7
