Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201601,44.4,-1.7
201602,50.0,0.9
201603,60.9,5.7
201604,63.9,0.8
201605,70.8,0.0
201606,79.7,2.5
201607,82.8,3.1
201608,81.6,2.6
201609,77.5,3.1
201610,67.8,3.6
201611,58.0,3.6
201612,52.1,4.8
201701,53.2,7.1
201702,56.5,7.4
201703,58.0,2.8
201704,67.5,4.4
201705,71.4,0.6
201706,76.6,-0.6
201707,80.6,0.9
201708,79.4,0.4
201709,74.0,-0.4
201710,67.0,2.8
201711,56.4,2.0
201712,49.3,2.0
201801,42.4,-3.7
201802,59.1,10.0
201803,54.5,-0.7
201804,60.5,-2.6
201805,73.7,2.9
201806,79.3,2.1
201807,80.1,0.4
201808,79.3,0.3
201809,79.8,5.4
201810,68.3,4.1
201811,53.2,-1.2
201812,50.2,2.9
201901,48.2,2.1
