date, value,Month,Year,Season
2016-01-01,101.07700000000001,01,2016,Winter
2016-02-01,99.728,02,2016,Winter
2016-03-01,97.693,03,2016,Spring
2016-04-01,96.34100000000001,04,2016,Spring
2016-05-01,97.419,05,2016,Spring
2016-06-01,97.802,06,2016,Summer
2016-07-01,98.294,07,2016,Summer
2016-08-01,97.514,08,2016,Summer
2016-09-01,98.26,09,2016,Fall
2016-10-01,99.18,10,2016,Fall
2016-11-01,101.556,11,2016,Fall
2016-12-01,103.25200000000001,12,2016,Winter
2017-01-01,103.132,01,2017,Winter
2017-02-01,101.75,02,2017,Winter
2017-03-01,100.98100000000001,03,2017,Spring
2017-04-01,100.23899999999999,04,2017,Spring
2017-05-01,99.662,05,2017,Spring
2017-06-01,98.29899999999999,06,2017,Summer
2017-07-01,96.875,07,2017,Summer
2017-08-01,95.889,08,2017,Summer
2017-09-01,95.25,09,2017,Fall
2017-10-01,96.665,10,2017,Fall
2017-11-01,96.806,11,2017,Fall
2017-12-01,96.46700000000001,12,2017,Winter
2018-01-01,94.32600000000001,01,2018,Winter
2018-02-01,94.727,02,2018,Winter
2018-03-01,95.01100000000001,03,2018,Spring
2018-04-01,94.99700000000001,04,2018,Spring
2018-05-01,97.522,05,2018,Spring
2018-06-01,99.01700000000001,06,2018,Summer
2018-07-01,99.335,07,2018,Summer
2018-08-01,100.28,08,2018,Summer
2018-09-01,100.262,09,2018,Fall
2018-10-01,100.90299999999999,10,2018,Fall
2018-11-01,101.97399999999999,11,2018,Fall
2018-12-01,102.00200000000001,12,2018,Winter
2019-01-01,100.414,01,2019,Winter
2019-02-01,100.412,02,2019,Winter
2019-03-01,100.781,03,2019,Spring
2019-04-01,100.74700000000001,04,2019,Spring
2019-05-01,101.565,05,2019,Spring
2019-06-01,101.001,06,2019,Summer
2019-07-01,100.685,07,2019,Summer
2019-08-01,102.48100000000001,08,2019,Summer
2019-09-01,102.648,09,2019,Fall
