year,State,population,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,Total
2016,All,323405935,1285606,17413,132414.0,332797,802982,7928530,1516405,5644835,767290,18428272.0
2016,AK,741522,5966,52,1053.0,850,4011,24876,4053,17766,3057,61684.0
2016,AL,4860545,25878,407,1915.0,4687,18869,143259,34045,97498,11716,338274.0
2016,AR,2988231,16563,217,2214.0,2125,12007,98092,23814,67091,7187,229310.0
2016,AZ,6908642,32542,389,3304.0,7045,21804,207317,38216,150618,18483,479718.0
2016,CA,39296476,174796,1930,13702.0,54789,104375,1002070,188304,637010,176756,2353732.0
2016,CO,5530105,19030,189,3635.0,3525,11681,152146,23825,108680,19641,342352.0
2016,CT,3587685,8169,79,791.0,2711,4588,64875,10107,47642,7126,146088.0
2016,DC,684336,8236,136,533.0,3500,4067,32377,2361,27089,2927,81226.0
2016,DE,952698,4859,58,311.0,1359,3131,26370,5028,19812,1530,62458.0
2016,FL,20656589,88700,1111,7598.0,20175,59816,553812,100325,410352,43135,1285024.0
2016,GA,10313620,40268,682,3381.0,12114,24091,307305,62715,218127,26463,695146.0
2016,HI,1428683,3452,35,619.0,985,1831,42353,5983,30871,5499,91628.0
2016,IA,3130869,9170,73,1278.0,1150,6669,65888,15306,45580,5002,150116.0
2016,ID,1680026,3876,49,719.0,213,2895,29357,6318,20962,2077,66466.0
2016,IL,12835726,56054,1061,5003.0,17829,32161,263256,48193,195196,19867,638620.0
2016,IN,6634007,26516,431,2449.0,7291,16345,168460,33567,120454,14439,389952.0
2016,KS,2907731,11665,132,1618.0,1757,8158,82293,14759,60119,7415,187916.0
2016,KY,4436113,10452,265,1748.0,3371,5068,97713,20932,66833,9948,216330.0
2016,LA,4686157,26477,555,1819.0,5575,18528,154511,34689,109492,10330,361976.0
2016,MA,6823721,25975,135,2141.0,5365,18334,106430,19204,79155,8071,264810.0
2016,MD,6024752,29019,536,1827.0,10815,15841,139716,24832,100995,13889,337470.0
2016,ME,1330232,1649,20,413.0,268,948,21908,4001,17131,776,47114.0
